time,load,wind,solar,price,hour,day_of_week,month,weekend_flag,hour_sin,hour_cos,price_lag_1,price_lag_24,price_lag_168,price_rolling_24,price_rolling_168,residual_load,renewable_share,price_spike,predicted_price,naive_predicted_price,train_test_flag,price_volatility_24h,price_deviation,spike_flag,forecast_error,absolute_error,naive_error,ml_beats_naive,total_renewable
2025-12-02 11:00:00,72736.82,23913.92,12041.86,86.72,11,1,12,0,0.258819045102521,-0.9659258262890682,85.83,85.96,326.63,81.44125,111.24333333333334,36781.04000000001,0.4943270822122825,0,85.05324,85.83,train,17.821318282498193,5.278750000000002,0,1.6667620849609364,1.6667620849609364,0.8900000000000006,0,35955.78
2025-12-02 12:00:00,71848.78,20805.23,12304.4,87.45,12,1,12,0,1.2246467991473532e-16,-1.0,86.72,85.02,351.0,81.47291666666666,109.81529761904763,38739.15,0.4608238302724138,0,86.91253,86.72,train,17.830369666037594,5.97708333333334,0,0.5374710083007841,0.5374710083007841,0.730000000000004,1,33109.63
2025-12-02 13:00:00,71307.75,18352.28,10114.93,97.04,13,1,12,0,-0.2588190451025208,-0.9659258262890683,87.45,90.07,317.65,81.57416666666667,108.24654761904763,42840.54,0.3992162142263639,0,93.83272,87.45,train,17.85826514692814,15.465833333333336,0,3.2072821044921938,3.2072821044921938,9.590000000000003,1,28467.21
2025-12-02 14:00:00,70576.15,16795.65,6006.45,105.01,14,1,12,0,-0.4999999999999997,-0.8660254037844388,97.04,107.22,300.0,81.86458333333333,106.93339285714285,47774.049999999996,0.32308506485547883,0,109.911125,97.04,train,18.05799136096733,23.145416666666677,0,-4.901125183105464,4.901125183105464,7.969999999999999,1,22802.100000000002
2025-12-02 15:00:00,70374.39,16328.16,1656.85,140.37,15,1,12,0,-0.7071067811865471,-0.7071067811865479,105.01,120.32,310.0,81.7725,105.7727380952381,52389.38,0.25556185993228503,0,135.65399,105.01,train,17.928243263681924,58.59750000000001,1,4.7160083007812545,4.7160083007812545,35.36,1,17985.01
2025-12-02 16:00:00,72000.65,16701.51,68.72,136.34,16,1,12,0,-0.8660254037844385,-0.5000000000000004,140.37,112.97,325.08,82.60791666666667,104.7630357142857,55230.42,0.23291775838134796,0,144.36687,140.37,train,20.134019443451717,53.732083333333335,1,-8.026867065429684,8.026867065429684,4.030000000000001,0,16770.23
2025-12-02 17:00:00,73713.71,16826.3,30.47,151.64,17,1,12,0,-0.9659258262890683,-0.25881904510252063,136.34,94.41,373.31,83.58166666666666,103.63958333333333,56856.94,0.22867889840302433,0,151.81284,136.34,train,22.132245935398043,68.05833333333332,1,-0.17283569335938864,0.17283569335938864,15.299999999999983,1,16856.77
2025-12-02 18:00:00,72679.35,16057.32,18.26,162.14,18,1,12,0,-1.0,-1.8369701987210297e-16,151.64,88.99,297.91,85.96625,102.32011904761904,56603.770000000004,0.22118497207253504,1,160.17244,151.64,train,26.08051860188926,76.17374999999998,1,1.9675604248046739,1.9675604248046739,10.5,1,16075.58
2025-12-02 19:00:00,70572.93,14758.82,10.97,163.2,19,1,12,0,-0.9659258262890684,0.2588190451025203,162.14,86.77,249.37,89.01416666666667,101.51196428571427,55803.13999999999,0.20928406968507615,1,159.87428,162.14,train,30.370746353324634,74.18583333333332,1,3.325717163085926,3.325717163085926,1.0600000000000023,0,14769.789999999999
2025-12-02 20:00:00,67262.71,13296.73,10.28,154.89,20,1,12,0,-0.8660254037844386,0.5000000000000001,163.2,82.3,172.83,92.19875,100.99904761904762,53955.70000000001,0.19783636430943682,1,148.49178,163.2,train,33.92440141569267,62.69124999999998,1,6.398224487304674,6.398224487304674,8.310000000000002,1,13307.01
2025-12-02 21:00:00,63106.53,11549.77,7.6,129.35,21,1,12,0,-0.7071067811865477,0.7071067811865474,154.89,75.95,135.02,95.22333333333331,100.8922619047619,51549.159999999996,0.1831406353668947,1,132.55182,154.89,train,36.16541004963134,34.12666666666668,1,-3.2018188476562557,3.2018188476562557,25.539999999999992,1,11557.37
2025-12-02 22:00:00,59719.45,9848.61,6.56,119.22,22,1,12,0,-0.5000000000000004,0.8660254037844384,129.35,76.43,119.16,97.44833333333332,100.8585119047619,49864.28,0.16502446020517605,0,117.26941,129.35,train,36.56851897069592,21.771666666666675,0,1.9505908203124989,1.9505908203124989,10.129999999999995,1,9855.17
2025-12-02 23:00:00,55880.28,8541.9,5.47,99.14,23,1,12,0,-0.25881904510252157,0.9659258262890681,119.22,71.8,102.04,99.23125,100.85886904761904,47332.909999999996,0.15295861080152068,0,104.80705,119.22,train,36.54231939909149,-0.09125000000000227,0,-5.667052612304687,5.667052612304687,20.08,1,8547.369999999999
2025-12-03 00:00:00,52457.76,7653.82,5.26,90.84,0,2,12,0,0.0,1.0,99.14,65.78,92.85,100.37041666666666,100.84160714285714,44798.68,0.14600470931278803,0,96.00339,99.14,train,36.07313555146672,-9.530416666666653,0,-5.163387451171872,5.163387451171872,8.299999999999997,1,7659.08
2025-12-03 01:00:00,50527.62,7138.07,5.4,89.07,1,2,12,0,0.25881904510252074,0.9659258262890683,90.84,58.82,89.95,101.41458333333333,100.82964285714284,43384.15,0.1413775277758976,0,88.959015,90.84,train,35.384472519327076,-12.344583333333333,0,0.11098510742186818,0.11098510742186818,1.7700000000000102,1,7143.469999999999
